study,endpoint,population,age,category_age,duration,category_duration,men_ratio,category_men_ratio,type_exercise,bsln,bsln_adjusted,category_bsln,N_HIIE,Mean_HIIE,SD_HIIE,N_MICT,Mean_MICT,SD_MICT,HIIE,desired_effect
Eguchi 2012,Systolic Blood Pressure,Healthy,51.0,> 50 y,12,> 10 weeks,1,> 0.5,Cycling,125.15,125.15,120 - 140 mmHg,10,-10.0,11.5704364654061,10,-10.5,11.4554353911146,HIIT,decrease
Eguchi 2012,Total Cholesterol,Healthy,51.0,> 50 y,12,> 10 weeks,1,> 0.5,Cycling,5.59585492227979,5.59585492227979,> 5.2 mmol/L,10,-2.79999999999998,14.6912218688576,10,-11.1,14.279950980308,HIIT,decrease
Eguchi 2012,Triglycerides,Healthy,51.0,> 50 y,12,> 10 weeks,1,> 0.5,Cycling,2.06158192090396,2.06158192090396,> 1.7 mmol/L,10,30.6,139.69790621194,10,-71.1,173.121922355316,HIIT,decrease
Fisher 2015,BMI,Overweight/obese,20.0,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,29.5,29.5,BMI 25 - 30 kg/m²,13,-0.26,0.83,10,-0.35,0.75,SIT,decrease
Fisher 2015,Body Fat,Overweight/obese,20.0,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,31.785,29.5,BMI 25 - 30 kg/m²,13,-0.88,1.41,10,-1.28,2.2,SIT,decrease
Fisher 2015,Body Mass,Overweight/obese,20.0,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,92.0,29.5,BMI 25 - 30 kg/m²,13,-0.82,2.57,10,-1.09,2.42,SIT,decrease
Fisher 2015,Diastolic Blood Pressure,Overweight/obese,20.0,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,70.0,70.0,< 80 mmHg,13,1.6,7.7,10,-4.6,6.4,SIT,decrease
Fisher 2015,HDL,Overweight/obese,20.0,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,1.25647668393782,1.25647668393782,< 1.3 mmol/L,13,-1.4,7.9,10,-2,5.1,SIT,increase
Fisher 2015,HOMA-IR,Overweight/obese,20.0,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,2.73,2.73,< 3,13,0.16,2.35,10,-0.27,0.4,SIT,decrease
Fisher 2015,LDL,Overweight/obese,20.0,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,2.47020725388601,2.47020725388601,< 3 mmol/L,13,-4.78,16.9,10,-7.8,18.6,SIT,decrease
Fisher 2015,Systolic Blood Pressure,Overweight/obese,20.0,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,128.0,128.0,120 - 140 mmHg,13,-0.3,11.1,10,-4.6,11.4,SIT,decrease
Fisher 2015,Total Cholesterol,Overweight/obese,20.0,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,4.30440414507772,4.30440414507772,< 5.2 mmol/L,13,-9.2,17.6,10,-12.9,26.4,SIT,decrease
Fisher 2015,Triglycerides,Overweight/obese,20.0,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,1.41694915254237,1.41694915254237,< 1.7 mmol/L,13,-15.3,46.3,10,-15.7,47.4,SIT,decrease
Fisher 2015,VO2max,Overweight/obese,20.0,< 30 y,6,5 - 10 weeks,1,> 0.5,Cycling,35.335,10.9664984766895,< 30%,13,0.84,3.5,10,3.4,3.36,SIT,increase
Gillen 2016,BMI,Healthy,27.5,< 30 y,12,> 10 weeks,1,> 0.5,Cycling,26.5,26.5,BMI 25 - 30 kg/m²,9,-1.0,2.73861278752583,10,0,3.286335345031,SIT,decrease
