endpoint,population,category_age,category_duration,type_exercise,Mean_HIIE,Mean_MICT,desired_effect
Diastolic Blood Pressure,T2D,> 50 y,5 - 10 weeks,Running,2,0,decrease
Fasting Glucose,T2D,> 50 y,5 - 10 weeks,Running,-1.05,-0.99,decrease
Flow-mediated Dilation,T2D,> 50 y,5 - 10 weeks,Running,2,1.3,increase
HDL,T2D,> 50 y,5 - 10 weeks,Running,0.31,0.08,increase
HOMA-IR,T2D,> 50 y,5 - 10 weeks,Running,-0.6,-0.5,decrease
LDL,T2D,> 50 y,5 - 10 weeks,Running,-0.73,-0.57,decrease
Systolic Blood Pressure,T2D,> 50 y,5 - 10 weeks,Running,-12,-5,decrease
Total Cholesterol,T2D,> 50 y,5 - 10 weeks,Running,-0.49,-0.1,decrease
Triglycerides,T2D,> 50 y,5 - 10 weeks,Running,-0.2,-0.06,decrease
VO2max,T2D,> 50 y,5 - 10 weeks,Running,6.1,3.3,increase
Diastolic Blood Pressure,Overweight/obese,> 50 y,> 10 weeks,Running,-8.5,-4,decrease
Flow-mediated Dilation,Overweight/obese,> 50 y,> 10 weeks,Running,4.17,0.61,increase
Systolic Blood Pressure,Overweight/obese,> 50 y,> 10 weeks,Running,-13,-5,decrease
VO2max,Overweight/obese,> 50 y,> 10 weeks,Running,5.2,1.8,increase
BMI,Overweight/obese,30 - 50 y,> 10 weeks,Cycling,-0.4,-0.4,decrease
Body Fat,Overweight/obese,30 - 50 y,> 10 weeks,Cycling,-0.6,-0.9,decrease
Body Mass,Overweight/obese,30 - 50 y,> 10 weeks,Cycling,-1.2,-1.3,decrease
BMI,Healthy,30 - 50 y,< 5 weeks,Cycling,-0.2,0,decrease
Body Fat,Healthy,30 - 50 y,< 5 weeks,Cycling,-1,-0.8,decrease
Fasting Glucose,Healthy,30 - 50 y,< 5 weeks,Cycling,-0.1,-0.1,decrease
Fasting Insulin,Healthy,30 - 50 y,< 5 weeks,Cycling,-0.4,0.2,decrease
HbA1c,Healthy,30 - 50 y,< 5 weeks,Cycling,-1.3,-3.1,decrease
