endpoint,population,category_age,duration,category_duration,men_ratio,category_men_ratio,type_exercise,Mean_HIIE,Mean_MICT
Fasting Insulin,Healthy,< 30 y,4,< 5 weeks,0.5,< 0.5,Cycling,5.2,19.1
HDL,Healthy,< 30 y,4,< 5 weeks,0.5,< 0.5,Cycling,-0.1,0
HOMA-IR,Healthy,< 30 y,4,< 5 weeks,0.5,< 0.5,Cycling,0.13,0.53
Total Cholesterol,Healthy,< 30 y,4,< 5 weeks,0.5,< 0.5,Cycling,-0.3,0.1
VO2max,Healthy,< 30 y,4,< 5 weeks,0.5,< 0.5,Cycling,5.7,2.2
Body Mass,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Running,-1.5,-2.3
Body Mass,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Running,-0.8,-2.3
HDL,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Running,-0.06,0.05
LDL,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Running,0,-0.09
Total Cholesterol,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Running,0.15,0.132
Triglycerides,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Running,-0.1,-0.14
VO2max,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Running,4.9,1
VO2max,Healthy,< 30 y,8,5 - 10 weeks,1,> 0.5,Running,3.9,1
VO2max,Healthy,< 30 y,7.5,5 - 10 weeks,1,> 0.5,Cycling,1.73,5.38
BMI,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.2,0
Body Fat,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-1,-0.8
Body Mass,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.5,0
Diastolic Blood Pressure,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,0,1
Fasting Glucose,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,0.4,0.2
Fasting Insulin,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,1,1.3
HbA1c,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-1.3,-3.2
HDL,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.2,-0.1
LDL,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.6,-0.2
Systolic Blood Pressure,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,1,3
Total Cholesterol,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.7,-0.3
Triglycerides,Healthy,30 - 50 y,2,< 5 weeks,1,> 0.5,Cycling,-0.1,-0.2
